player_id,player_name,order,team,opp_pitcher,p_hand,b_hand,iso,slg,sp_hr9_split,clash_badge,prob,score,target_call,rank,wb_score,wb_rank,synergy_score,synergy_call
665161,Jeremy Peña,6,Houston Astros,Jacob Lopez,L,R,0.186,0.469,1.85,ABOVE-AVG MATCHUP,0.2417,73.5,🔥 TARGET: Home Run Play,34,20.0,123,47.8,⚡ PURE MATCHUP EDGE
664040,Brandon Lowe,2,Pittsburgh Pirates,Tarik Skubal,L,L,0.227,0.481,1.37,ELEVATED POWER EDGE,0.2395,72.7,🔥 TARGET: Home Run Play,35,20.0,164,47.4,⚡ PURE MATCHUP EDGE
695670,Harry Ford,8,Washington Nationals,Eury Pérez,R,R,0.211,0.423,1.57,ABOVE-AVG MATCHUP,0.2338,70.6,🔥 TARGET: Home Run Play,36,20.0,44,46.3,⚡ PURE MATCHUP EDGE
657757,Gavin Sheets,4,San Diego Padres,Dean Kremer,R,L,0.183,0.397,2.01,ABOVE-AVG MATCHUP,0.2307,69.5,🔥 TARGET: Home Run Play,37,20.0,265,45.7,⚡ PURE MATCHUP EDGE
681624,Andy Pages,2,Los Angeles Dodgers,Jared Jones,R,R,0.186,0.458,1.75,ABOVE-AVG MATCHUP,0.2302,69.3,🔥 TARGET: Home Run Play,38,20.0,173,45.6,⚡ PURE MATCHUP EDGE
701358,Cam Smith,1,Houston Astros,Jacob Lopez,L,R,0.175,0.393,1.85,ABOVE-AVG MATCHUP,0.2292,68.9,🔥 TARGET: Home Run Play,39,20.0,118,45.4,⚡ PURE MATCHUP EDGE
643376,Danny Jansen,4,Texas Rangers,Ryan Johnson,R,R,0.13,0.292,2.49,ABOVE-AVG MATCHUP,0.2291,68.9,🔥 TARGET: Home Run Play,40,20.0,103,45.4,⚡ PURE MATCHUP EDGE
694208,Moisés Ballesteros,6,Los Angeles Angels,Cody Bradford,L,L,0.154,0.385,2.08,ABOVE-AVG MATCHUP,0.227,68.0,🔥 TARGET: Home Run Play,41,20.0,96,45.0,⚡ PURE MATCHUP EDGE
547180,Bryce Harper,4,Philadelphia Phillies,TBD Pitcher,R,L,0.231,0.488,1.2,ABOVE-AVG MATCHUP,0.2255,67.5,🔥 TARGET: Home Run Play,42,20.0,67,44.7,⚡ PURE MATCHUP EDGE
666139,Josh Lowe,4,Los Angeles Angels,Cody Bradford,L,L,0.151,0.36,2.08,ABOVE-AVG MATCHUP,0.2231,66.5,🔥 TARGET: Home Run Play,43,20.0,94,44.2,⚡ PURE MATCHUP EDGE
663494,Bryan Torres,3,St. Louis Cardinals,Andrew Painter,R,L,0.144,0.381,1.89,ABOVE-AVG MATCHUP,0.2219,66.0,🔥 TARGET: Home Run Play,44,20.0,57,43.9,⚡ PURE MATCHUP EDGE
650559,Bryan De La Cruz,3,Philadelphia Phillies,TBD Pitcher,R,R,0.226,0.581,1.2,ABOVE-AVG MATCHUP,0.2212,65.7,🔥 TARGET: Home Run Play,45,20.0,66,43.8,⚡ PURE MATCHUP EDGE
670623,Isaac Paredes,5,Houston Astros,Jacob Lopez,L,R,0.164,0.426,1.85,ABOVE-AVG MATCHUP,0.2164,63.8,🔥 TARGET: Home Run Play,46,20.0,122,42.8,⚾ Baseline Confluence
699625,Jimmy Crooks,7,St. Louis Cardinals,Andrew Painter,R,L,0.139,0.311,1.89,ABOVE-AVG MATCHUP,0.2151,63.2,🔥 TARGET: Home Run Play,47,20.0,61,42.5,⚾ Baseline Confluence
694497,Evan Carter,6,Texas Rangers,Ryan Johnson,R,L,0.128,0.325,2.34,ABOVE-AVG MATCHUP,0.214,62.8,🔥 TARGET: Home Run Play,48,20.0,105,42.3,⚾ Baseline Confluence
701538,Jackson Merrill,5,San Diego Padres,Dean Kremer,R,L,0.167,0.405,2.01,ABOVE-AVG MATCHUP,0.2129,62.3,🔥 TARGET: Home Run Play,49,20.0,266,42.0,⚾ Baseline Confluence
686527,Dominic Canzone,5,Seattle Mariners,David Peterson,L,L,0.23,0.489,1.29,ELEVATED POWER EDGE,0.2067,59.6,🔥 TARGET: Home Run Play,50,20.0,194,40.6,⚾ Baseline Confluence
671739,Michael Harris II,4,Atlanta Braves,Logan Henderson,R,L,0.194,0.487,1.48,ABOVE-AVG MATCHUP,0.2061,59.4,🔥 TARGET: Home Run Play,51,20.0,22,40.5,⚾ Baseline Confluence
553869,Elias Díaz,5,Texas Rangers,Ryan Johnson,R,R,0.115,0.345,2.49,ABOVE-AVG MATCHUP,0.2056,59.2,🔥 TARGET: Home Run Play,52,20.0,104,40.4,⚾ Baseline Confluence
701807,Carson Benge,4,New York Mets,Luis Castillo,R,L,0.145,0.417,1.94,ABOVE-AVG MATCHUP,0.2024,57.8,🔥 TARGET: Home Run Play,53,20.0,130,39.7,⚾ Baseline Confluence
701162,Ben Malgeri,1,Detroit Tigers,Michael Wacha,R,R,0.183,0.433,1.77,ABOVE-AVG MATCHUP,0.2019,57.5,🔥 TARGET: Home Run Play,54,20.0,145,39.5,⚾ Baseline Confluence
683357,Owen Caissie,3,Miami Marlins,Jake Irvin,R,L,0.201,0.425,1.39,ABOVE-AVG MATCHUP,0.2012,57.2,🔥 TARGET: Home Run Play,55,20.0,48,39.3,⚾ Baseline Confluence
802139,JJ Wetherholt,6,St. Louis Cardinals,Andrew Painter,R,L,0.128,0.369,1.89,ABOVE-AVG MATCHUP,0.1999,56.7,🔥 TARGET: Home Run Play,56,20.0,60,39.1,⚾ Baseline Confluence
514888,Jose Altuve,7,Houston Astros,Jacob Lopez,L,R,0.149,0.396,1.85,ABOVE-AVG MATCHUP,0.1988,56.2,🔥 TARGET: Home Run Play,57,20.0,124,38.8,⚾ Baseline Confluence
814430,Brett Callahan,2,Detroit Tigers,Michael Wacha,R,L,0.384,0.692,0.81,ABOVE-AVG MATCHUP,0.1947,54.4,🔥 TARGET: Home Run Play,58,20.0,146,37.9,⚾ Baseline Confluence
641343,Jake Bauers,4,Milwaukee Brewers,Martín Pérez,L,L,0.227,0.5,1.16,ABOVE-AVG MATCHUP,0.1908,52.6,🔥 TARGET: Home Run Play,59,20.0,31,37.0,⚾ Baseline Confluence
700250,Ben Rice,2,New York Yankees,Dylan Cease,R,L,0.281,0.53,0.8,ABOVE-AVG MATCHUP,0.1898,52.2,⚾ Standard Matchup,60,20.0,11,36.7,⚾ Baseline Confluence
691788,Joe Mack,7,Miami Marlins,Jake Irvin,R,L,0.188,0.419,1.39,ABOVE-AVG MATCHUP,0.1895,52.0,⚾ Standard Matchup,61,20.0,52,36.6,⚾ Baseline Confluence
671056,Iván Herrera,5,St. Louis Cardinals,Andrew Painter,R,R,0.138,0.382,1.65,ABOVE-AVG MATCHUP,0.1894,52.0,⚾ Standard Matchup,62,20.0,59,36.6,⚾ Baseline Confluence
