player_id,player_name,order,team,opp_pitcher,matchup,weather,blended_iso,drought_games,core_hr_prob,hazard_mult,synergy_prob,synergy_score,target_call,rank
677800,Wilyer Abreu,3,Boston Red Sox,Matt Wilkinson (LHP),L vs L,[NEUTRAL 67° 2MPH],0.156,6,10.4,1.1,11.4,22.8,⚾ Standard Rotation,33
663330,Jahmai Jones,1,Boston Red Sox,Matt Wilkinson (LHP),R vs L,[NEUTRAL 67° 2MPH],0.188,8,15.1,0.75,11.3,22.7,⚾ Standard Rotation,34
813841,Jonah Cox,8,San Francisco Giants,Jake Bennett (LHP),R vs L,[NEUTRAL 67° 2MPH],0.084,24,7.0,1.6,11.2,22.4,⚾ Standard Rotation,35
673548,Seiya Suzuki,2,Chicago Cubs,Bryce Miller (RHP),R vs R,[NEUTRAL 72°],0.175,4,12.2,0.92,11.2,22.4,⚾ Standard Rotation,36
701538,Jackson Merrill,5,San Diego Padres,Bailey Ober (RHP),L vs R,[NEUTRAL 87° 7MPH],0.195,0,14.8,0.75,11.1,22.3,⚾ Standard Rotation,37
624424,Michael Conforto,8,Chicago Cubs,Bryce Miller (RHP),L vs R,[NEUTRAL 72°],0.139,5,10.7,1.02,11.0,22.0,⚾ Standard Rotation,38
676551,Brewer Hicklen,2,Atlanta Braves,Shane Drohan (LHP),R vs L,[DOME / CONTROLLED],0.095,8,8.7,1.25,10.8,21.7,⚾ Standard Rotation,39
642715,Willy Adames,3,San Francisco Giants,Jake Bennett (LHP),R vs L,[NEUTRAL 67° 2MPH],0.179,0,14.5,0.75,10.9,21.7,⚾ Standard Rotation,40
701398,Sal Stewart,2,Cincinnati Reds,Mitch Bratt (LHP),R vs L,[DOME / CONTROLLED],0.149,3,13.3,0.81,10.7,21.5,⚾ Standard Rotation,41
657136,Connor Wong,9,Boston Red Sox,Matt Wilkinson (LHP),R vs L,[NEUTRAL 67° 2MPH],0.174,1,14.1,0.75,10.6,21.1,⚾ Standard Rotation,42
657757,Gavin Sheets,7,San Diego Padres,Bailey Ober (RHP),L vs R,[NEUTRAL 87° 7MPH],0.182,3,13.9,0.75,10.4,20.9,⚾ Standard Rotation,43
518692,Freddie Freeman,2,Los Angeles Dodgers,Lake Bachar (RHP),L vs R,[DOME / CONTROLLED],0.073,39,6.4,1.6,10.3,20.5,⚾ Standard Rotation,44
605141,Mookie Betts,3,Los Angeles Dodgers,Lake Bachar (RHP),R vs R,[DOME / CONTROLLED],0.167,2,13.0,0.75,9.8,19.5,⚾ Standard Rotation,45
664023,Ian Happ,5,Chicago Cubs,Bryce Miller (RHP),S vs R,[NEUTRAL 72°],0.186,1,12.9,0.75,9.7,19.4,⚾ Standard Rotation,46
642201,Eli White,8,Boston Red Sox,Matt Wilkinson (LHP),R vs L,[NEUTRAL 67° 2MPH],0.078,22,6.5,1.48,9.6,19.3,⚾ Standard Rotation,47
646240,Rafael Devers,2,San Francisco Giants,Jake Bennett (LHP),L vs L,[NEUTRAL 67° 2MPH],0.193,1,12.6,0.75,9.5,18.9,⚾ Standard Rotation,48
668904,Royce Lewis,5,Minnesota Twins,Walker Buehler (RHP),R vs R,[NEUTRAL 87° 7MPH],0.106,14,7.6,1.23,9.4,18.7,⚾ Standard Rotation,49
668930,Brice Turang,2,Milwaukee Brewers,Tyler Mahle (RHP),L vs R,[DOME / CONTROLLED],0.078,17,6.9,1.33,9.1,18.3,⚾ Standard Rotation,50
677594,Julio Rodríguez,3,Seattle Mariners,Shota Imanaga (LHP),R vs L,[NEUTRAL 72°],0.126,9,10.2,0.88,9.1,18.1,⚾ Standard Rotation,51
691783,Jordan Lawlar,7,Arizona Diamondbacks,Andrew Abbott (LHP),R vs L,[DOME / CONTROLLED],0.134,0,12.0,0.75,9.0,18.1,⚾ Standard Rotation,52
