player_id,player_name,order,team,opp_pitcher,matchup,weather,season_iso,l15_iso,blended_iso,hr_prob,score,target_call,rank
650859,Luis Rengifo,9,San Diego Padres,Bailey Ober,S vs RHP,[NEUTRAL 80° 2MPH],0.05,0.109,0.083,5.9,11.8,⚾ Standard Power Spot,197
608348,Carson Kelly,2,Chicago Cubs,Bryce Miller,R vs RHP,[NEUTRAL 72°],0.11,0.059,0.082,5.9,11.8,⚾ Standard Power Spot,198
669707,Jared Triolo,8,Pittsburgh Pirates,Blake Snell,R vs LHP,[DOME / CONTROLLED],0.068,0.073,0.071,5.9,11.7,⚾ Standard Power Spot,199
518692,Freddie Freeman,5,Los Angeles Dodgers,Lake Bachar,L vs RHP,[DOME / CONTROLLED],0.162,0.0,0.073,5.8,11.7,⚾ Standard Power Spot,200
683953,Travis Bazzana,6,Cleveland Guardians,Tomoyuki Sugano,L vs RHP,[NEUTRAL 84° 7MPH],0.132,0.0,0.059,5.7,11.4,⚾ Standard Power Spot,201
668804,Bryan Reynolds,3,Pittsburgh Pirates,Blake Snell,S vs LHP,[DOME / CONTROLLED],0.166,0.0,0.075,5.6,11.2,⚾ Standard Power Spot,202
694208,Moisés Ballesteros,3,Los Angeles Angels,Cal Quantrill,L vs RHP,[DOME / CONTROLLED],0.154,0.0,0.069,5.5,11.0,⚾ Standard Power Spot,203
655316,Andruw Monasterio,7,Boston Red Sox,Matt Wilkinson,R vs LHP,[NEUTRAL 72°],0.159,0.0,0.072,5.4,10.9,⚾ Standard Power Spot,204
687597,Jordan Beck,7,Colorado Rockies,Foster Griffin,R vs LHP,[NEUTRAL 84° 7MPH],0.12,0.0,0.054,5.4,10.8,⚾ Standard Power Spot,205
663968,Jake Mangum,7,Pittsburgh Pirates,Blake Snell,S vs LHP,[DOME / CONTROLLED],0.09,0.058,0.072,5.4,10.8,⚾ Standard Power Spot,206
686765,Nick Sogard,6,Boston Red Sox,Matt Wilkinson,S vs LHP,[NEUTRAL 72°],0.11,0.053,0.078,5.4,10.8,⚾ Standard Power Spot,207
680757,Steven Kwan,1,Cleveland Guardians,Tomoyuki Sugano,L vs RHP,[NEUTRAL 84° 7MPH],0.06,0.051,0.055,5.3,10.6,⚾ Standard Power Spot,208
640902,Jhonny Pereda,6,Seattle Mariners,Shota Imanaga,R vs LHP,[NEUTRAL 72°],0.081,0.064,0.072,5.3,10.6,⚾ Standard Power Spot,209
656775,Cedric Mullins,7,Tampa Bay Rays,Shane Baz,L vs RHP,[DOME / CONTROLLED],0.148,0.0,0.067,5.3,10.6,⚾ Standard Power Spot,210
624641,Edmundo Sosa,8,Philadelphia Phillies,Kyle Leahy,R vs RHP,[NEUTRAL 75° 8MPH],0.136,0.0,0.061,5.3,10.5,⚾ Standard Power Spot,211
678545,Osleivis Basabe,1,San Francisco Giants,Jake Bennett,R vs LHP,[NEUTRAL 72°],0.153,0.0,0.069,5.2,10.5,⚾ Standard Power Spot,212
669720,Austin Hays,1,San Diego Padres,Bailey Ober,R vs RHP,[NEUTRAL 80° 2MPH],0.093,0.062,0.076,5.2,10.4,⚾ Standard Power Spot,213
676391,Ernie Clement,6,Toronto Blue Jays,Carlos Rodón,R vs LHP,[NEUTRAL 76° 8MPH],0.119,0.0,0.054,5.2,10.4,⚾ Standard Power Spot,214
666126,Carlos Cortes,2,Athletics,Cristian Javier,L vs RHP,[DOME / CONTROLLED],0.145,0.0,0.065,5.2,10.4,⚾ Standard Power Spot,215
672640,Otto Lopez,1,Miami Marlins,Jackson Kent,R vs LHP,[DOME / CONTROLLED],0.139,0.0,0.063,5.2,10.4,⚾ Standard Power Spot,216
801126,Brock Rodden,2,Seattle Mariners,Shota Imanaga,S vs LHP,[NEUTRAL 72°],0.167,0.0,0.075,5.1,10.1,⚾ Standard Power Spot,217
683734,Andrew Vaughn,1,Milwaukee Brewers,Tyler Mahle,R vs RHP,[DOME / CONTROLLED],0.15,0.0,0.068,5.1,10.1,⚾ Standard Power Spot,218
673490,Ha-Seong Kim,5,Atlanta Braves,Shane Drohan,R vs LHP,[DOME / CONTROLLED],0.05,0.0,0.023,3.0,10.0,⚾ Standard Power Spot,219
699912,Jose Fernandez,8,Arizona Diamondbacks,Andrew Abbott,R vs LHP,[DOME / CONTROLLED],0.1,0.0,0.045,3.8,10.0,⚾ Standard Power Spot,220
680700,Richie Palacios,8,Tampa Bay Rays,Shane Baz,L vs RHP,[DOME / CONTROLLED],0.113,0.0,0.051,4.1,10.0,⚾ Standard Power Spot,221
666624,Christopher Morel,6,New York Mets,Sean Newcomb,R vs LHP,[DOME / CONTROLLED],0.05,0.0,0.023,3.0,10.0,⚾ Standard Power Spot,222
687231,Darell Hernaiz,8,Athletics,Cristian Javier,R vs RHP,[DOME / CONTROLLED],0.05,0.0,0.023,3.0,10.0,⚾ Standard Power Spot,223
686475,Tyler Tolbert,7,Kansas City Royals,Jacob Waguespack,R vs RHP,[NEUTRAL 81° 5MPH],0.137,0.0,0.062,4.0,10.0,⚾ Standard Power Spot,224
805999,A.J. Ewing,8,New York Mets,Sean Newcomb,L vs LHP,[DOME / CONTROLLED],0.12,0.0,0.054,4.1,10.0,⚾ Standard Power Spot,225
803011,Sam Antonacci,1,Chicago White Sox,Nolan McLean,L vs RHP,[DOME / CONTROLLED],0.123,0.0,0.055,4.4,10.0,⚾ Standard Power Spot,226
805347,Jim Jarvis,6,Atlanta Braves,Shane Drohan,L vs LHP,[DOME / CONTROLLED],0.09,0.0,0.041,3.1,10.0,⚾ Standard Power Spot,227
643289,Mauricio Dubón,9,Atlanta Braves,Shane Drohan,R vs LHP,[DOME / CONTROLLED],0.124,0.0,0.056,4.6,10.0,⚾ Standard Power Spot,228
664774,LaMonte Wade Jr.,7,Houston Astros,Brady Basso,L vs LHP,[DOME / CONTROLLED],0.122,0.0,0.055,4.1,10.0,⚾ Standard Power Spot,229
553869,Elias Díaz,5,Texas Rangers,Yusei Kikuchi,R vs LHP,[DOME / CONTROLLED],0.115,0.0,0.052,4.3,10.0,⚾ Standard Power Spot,230
694497,Evan Carter,6,Texas Rangers,Yusei Kikuchi,L vs LHP,[DOME / CONTROLLED],0.126,0.0,0.057,4.3,10.0,⚾ Standard Power Spot,231
672284,Jarred Kelenic,9,Texas Rangers,Yusei Kikuchi,L vs LHP,[DOME / CONTROLLED],0.095,0.0,0.043,3.2,10.0,⚾ Standard Power Spot,232
683227,Cody Freeman,2,Texas Rangers,Yusei Kikuchi,R vs LHP,[DOME / CONTROLLED],0.05,0.0,0.023,3.0,10.0,⚾ Standard Power Spot,233
672569,Gustavo Campero,6,Los Angeles Angels,Cal Quantrill,S vs RHP,[DOME / CONTROLLED],0.05,0.05,0.05,3.8,10.0,⚾ Standard Power Spot,234
623168,Tyler Heineman,9,Los Angeles Angels,Cal Quantrill,S vs RHP,[DOME / CONTROLLED],0.051,0.0,0.023,3.0,10.0,⚾ Standard Power Spot,235
695681,Christian Moore,8,Los Angeles Angels,Cal Quantrill,R vs RHP,[DOME / CONTROLLED],0.05,0.0,0.023,3.0,10.0,⚾ Standard Power Spot,236
686555,Isaac Collins,5,Kansas City Royals,Jacob Waguespack,S vs RHP,[NEUTRAL 81° 5MPH],0.121,0.0,0.054,3.6,10.0,⚾ Standard Power Spot,237
690924,Braxton Fulford,1,Colorado Rockies,Foster Griffin,R vs LHP,[NEUTRAL 84° 7MPH],0.103,0.0,0.046,4.7,10.0,⚾ Standard Power Spot,238
666163,Ben Rortvedt,3,Los Angeles Dodgers,Lake Bachar,L vs RHP,[DOME / CONTROLLED],0.05,0.0,0.023,3.0,10.0,⚾ Standard Power Spot,239
669743,Alex Call,2,Los Angeles Dodgers,Lake Bachar,R vs RHP,[DOME / CONTROLLED],0.076,0.0,0.034,3.0,10.0,⚾ Standard Power Spot,240
693304,Nick Gonzales,9,Pittsburgh Pirates,Blake Snell,R vs LHP,[DOME / CONTROLLED],0.091,0.0,0.041,3.4,10.0,⚾ Standard Power Spot,241
680779,Henry Davis,5,Pittsburgh Pirates,Blake Snell,R vs LHP,[DOME / CONTROLLED],0.128,0.0,0.058,4.8,10.0,⚾ Standard Power Spot,242
695257,Billy Cook,1,Pittsburgh Pirates,Blake Snell,R vs LHP,[DOME / CONTROLLED],0.062,0.0,0.028,3.0,10.0,⚾ Standard Power Spot,243
682663,Agustín Ramírez,2,Miami Marlins,Jackson Kent,R vs LHP,[DOME / CONTROLLED],0.109,0.0,0.049,4.1,10.0,⚾ Standard Power Spot,244
669364,Xavier Edwards,4,Miami Marlins,Jackson Kent,S vs LHP,[DOME / CONTROLLED],0.098,0.0,0.044,3.3,10.0,⚾ Standard Power Spot,245
683766,Christian Koss,9,San Francisco Giants,Jake Bennett,R vs LHP,[NEUTRAL 72°],0.051,0.0,0.023,3.0,10.0,⚾ Standard Power Spot,246
683083,Nasim Nuñez,8,Washington Nationals,Janson Junk,S vs RHP,[DOME / CONTROLLED],0.05,0.0,0.023,3.0,10.0,⚾ Standard Power Spot,247
678391,Jorbit Vivas,6,Washington Nationals,Janson Junk,L vs RHP,[DOME / CONTROLLED],0.08,0.0,0.036,3.0,10.0,⚾ Standard Power Spot,248
687093,Vaughn Grissom,4,Los Angeles Angels,Cal Quantrill,R vs RHP,[DOME / CONTROLLED],0.125,0.0,0.056,4.2,10.0,⚾ Standard Power Spot,249
703601,Max Clark,8,Detroit Tigers,Daniel Lynch IV,L vs LHP,[NEUTRAL 81° 5MPH],0.132,0.0,0.059,3.9,10.0,⚾ Standard Power Spot,250
679845,Nick Loftin,1,Kansas City Royals,Jacob Waguespack,R vs RHP,[NEUTRAL 81° 5MPH],0.141,0.0,0.063,4.2,10.0,⚾ Standard Power Spot,251
595879,Javier Báez,9,Detroit Tigers,Daniel Lynch IV,R vs LHP,[NEUTRAL 81° 5MPH],0.1,0.0,0.045,3.3,10.0,⚾ Standard Power Spot,252
669224,Austin Wells,8,New York Yankees,José Soriano,L vs RHP,[NEUTRAL 76° 8MPH],0.115,0.0,0.052,4.8,10.0,⚾ Standard Power Spot,253
