player_id,player_name,order,team,opp_pitcher,matchup,season_iso,drought_games,scale_lambda,hazard_prob,hazard_score,target_call,rank
596019,Francisco Lindor,9,New York Mets,Luis Castillo (RHP),S vs R,0.184,0,10.4,8.0,16.0,🔄 RECENT RESET: Just Homered,81
803011,Sam Antonacci,1,Chicago White Sox,Christian Scott (RHP),L vs R,0.124,0,15.5,8.0,16.0,🔄 RECENT RESET: Just Homered,82
808959,Munetaka Murakami,2,Chicago White Sox,Christian Scott (RHP),L vs R,0.301,0,6.4,8.0,16.0,🔄 RECENT RESET: Just Homered,83
678246,Miguel Vargas,3,Chicago White Sox,Christian Scott (RHP),R vs R,0.254,0,7.6,8.0,16.0,🔄 RECENT RESET: Just Homered,84
643217,Andrew Benintendi,4,Chicago White Sox,Christian Scott (RHP),L vs R,0.178,0,10.8,8.0,16.0,🔄 RECENT RESET: Just Homered,85
695731,Braden Montgomery,5,Chicago White Sox,Christian Scott (RHP),S vs R,0.134,0,14.3,8.0,16.0,🔄 RECENT RESET: Just Homered,86
695657,Colson Montgomery,6,Chicago White Sox,Christian Scott (RHP),L vs R,0.222,0,8.6,8.0,16.0,🔄 RECENT RESET: Just Homered,87
805367,Chase Meidroth,7,Chicago White Sox,Christian Scott (RHP),R vs R,0.132,0,14.5,8.0,16.0,🔄 RECENT RESET: Just Homered,88
671976,Tristan Peters,8,Chicago White Sox,Christian Scott (RHP),L vs R,0.153,0,12.5,8.0,16.0,🔄 RECENT RESET: Just Homered,89
691011,Drew Romo,9,Chicago White Sox,Christian Scott (RHP),S vs R,0.164,0,11.7,8.0,16.0,🔄 RECENT RESET: Just Homered,90
805808,Kevin McGonigle,1,Detroit Tigers,Michael Wacha (RHP),L vs R,0.14,0,13.7,8.0,16.0,🔄 RECENT RESET: Just Homered,91
650402,Gleyber Torres,2,Detroit Tigers,Michael Wacha (RHP),R vs R,0.127,0,15.1,8.0,16.0,🔄 RECENT RESET: Just Homered,92
690993,Colt Keith,3,Detroit Tigers,Michael Wacha (RHP),L vs R,0.153,0,12.5,8.0,16.0,🔄 RECENT RESET: Just Homered,93
