player_name,team,opp_pitcher,p_hand,b_hand,sp_hr9_split,iso,clash_badge,hr_prob,hr_score,hr_rk,current_drought_games,current_drought_pa,saturation,rho_shape,wb_prob,wb_score,wb_rk,exp_tb,prob_o15,tb_score,tb_rk,prob_1h,hit_score,hit_rk,avg_combo,prob_2plus,combo_score,combo_rk,consensus_score,best_prop_target,rank
Bryson Stott,Philadelphia Phillies,TBD Pitcher,R,L,1.2,0.149,NEUTRAL TRAJECTORY,0.1441,32.4,116,25,95,1.76,1.06,0.0801,25.0,207,1.58,0.4674,25.0,97,0.7125,54.4,73,3.3,0.842,96.5,37,40.4,🔥 1.5+ H+R+RBI,119
Julio Rodríguez,Seattle Mariners,David Peterson,L,R,0.7,0.162,NEUTRAL TRAJECTORY,0.0737,25.0,194,14,61,2.26,1.12,0.1682,51.6,35,1.32,0.3816,25.0,161,0.6941,47.9,93,2.15,0.6337,73.2,197,40.3,⚾ High-Floor Value,120
Jackson Chourio,Milwaukee Brewers,Martín Pérez,L,R,0.78,0.188,ABOVE-AVG MATCHUP,0.1112,25.0,151,9,43,1.71,1.12,0.1739,54.4,32,1.51,0.4441,25.0,115,0.6517,33.7,133,2.46,0.7048,86.5,150,40.2,🔥 1.5+ H+R+RBI,121
Amed Rosario,New York Yankees,Dylan Cease,R,R,0.3,0.199,ABOVE-AVG MATCHUP,0.0539,25.0,216,3,7,0.35,1.06,0.1853,60.0,25,1.12,0.3068,25.0,206,0.5651,25.0,204,2.5,0.7133,87.6,148,40.2,🔥 1.5+ H+R+RBI,122
Michael Conforto,Chicago Cubs,Kade Anderson,L,L,1.2,0.212,ABOVE-AVG MATCHUP,0.165,41.1,88,17,38,1.65,1.06,0.1774,56.2,26,1.44,0.4212,25.0,138,0.5524,25.0,214,1.87,0.5573,52.2,244,39.6,⚾ High-Floor Value,123
Matthew Lugo,Kansas City Royals,Drew Anderson,R,R,1.51,0.16,ABOVE-AVG MATCHUP,0.1538,36.3,104,4,14,0.44,1.04,0.1225,29.9,155,1.71,0.5109,36.6,75,0.6477,32.5,136,2.26,0.6608,79.1,179,39.5,🔥 1.5+ H+R+RBI,124
Eugenio Suárez,Cincinnati Reds,Michael Soroka,R,R,0.48,0.204,ABOVE-AVG MATCHUP,0.0757,25.0,190,2,9,0.42,1.12,0.1745,54.7,30,1.08,0.2953,25.0,211,0.4366,25.0,252,2.68,0.7473,91.4,126,39.5,🔥 1.5+ H+R+RBI,125
Michael Massey,Kansas City Royals,Drew Anderson,R,L,1.13,0.17,NEUTRAL TRAJECTORY,0.1188,25.0,138,12,27,0.83,1.06,0.1236,30.4,141,1.6,0.4754,26.0,94,0.7308,60.6,51,2.45,0.7015,86.0,154,39.4,🔥 1.5+ H+R+RBI,126
Javier Báez,Detroit Tigers,Michael Wacha,R,R,1.77,0.1,ABOVE-AVG MATCHUP,0.1152,25.0,144,9,34,1.06,1.02,0.1246,30.8,129,1.73,0.5155,38.2,70,0.7071,52.5,77,2.14,0.6316,72.7,199,39.3,⚾ High-Floor Value,127
Alex Jackson,Minnesota Twins,Casey Mize,R,R,1.06,0.106,NEUTRAL TRAJECTORY,0.0726,25.0,195,18,47,1.47,1.02,0.1253,31.1,114,1.41,0.4126,25.0,144,0.7092,53.2,74,3.05,0.8087,95.7,73,39.3,🔥 1.5+ H+R+RBI,128
Andrew Benintendi,Chicago White Sox,Christian Scott,R,L,1.17,0.178,NEUTRAL TRAJECTORY,0.1474,33.7,111,18,59,2.01,1.06,0.1436,39.5,58,1.53,0.4534,25.0,108,0.6302,27.3,150,2.8,0.7694,93.3,107,39.2,🔥 1.5+ H+R+RBI,129
Ernie Clement,Toronto Blue Jays,Ryan Weathers,L,R,1.35,0.118,ABOVE-AVG MATCHUP,0.1374,29.8,120,29,121,2.15,1.06,0.0778,25.0,205,1.5,0.4407,25.0,119,0.7265,59.2,58,2.43,0.6986,85.6,156,39.1,🔥 1.5+ H+R+RBI,130
Miguel Rojas,Los Angeles Dodgers,Jared Jones,R,R,1.75,0.121,ABOVE-AVG MATCHUP,0.1565,37.4,95,12,35,1.09,1.02,0.1247,30.9,127,1.43,0.42,25.0,140,0.6756,41.5,110,2.29,0.6659,80.1,176,39.0,🔥 1.5+ H+R+RBI,131
Osleivis Basabe,San Francisco Giants,Patrick Sandoval,L,R,0.33,0.162,NEUTRAL TRAJECTORY,0.037,25.0,233,2,2,0.06,1.02,0.1195,28.7,177,1.54,0.457,25.0,103,0.7343,61.8,46,2.45,0.702,86.1,152,39.0,🔥 1.5+ H+R+RBI,132
Brett Baty,New York Mets,Luis Castillo,R,L,1.94,0.116,ABOVE-AVG MATCHUP,0.1655,41.3,86,21,72,1.46,1.06,0.0862,25.0,215,1.5,0.4415,25.0,118,0.6586,35.9,128,2.52,0.7171,88.1,145,38.9,🔥 1.5+ H+R+RBI,133
