player_name,team,opp_pitcher,p_hand,b_hand,sp_hr9_split,iso,clash_badge,hr_prob,hr_score,hr_rk,current_drought_games,current_drought_pa,saturation,rho_shape,wb_prob,wb_score,wb_rk,exp_tb,prob_o15,tb_score,tb_rk,prob_1h,hit_score,hit_rk,avg_combo,prob_2plus,combo_score,combo_rk,consensus_score,best_prop_target,rank
Cole Carrigg,Colorado Rockies,Joey Cantillo,L,S,1.17,0.186,ABOVE-AVG MATCHUP,0.1935,53.8,26,2,8,0.17,1.06,0.0819,25.0,152,2.3,0.6686,84.0,12,0.8466,88.6,4,3.8,0.8926,96.5,11,64.8,💎 Over 1.5 TB,17
Petey Halpin,Cleveland Guardians,Tanner Gordon,R,L,2.52,0.093,ABOVE-AVG MATCHUP,0.2068,59.7,17,33,71,2.22,1.02,0.1263,31.6,73,2.11,0.6237,73.7,18,0.8027,80.8,12,2.53,0.718,88.2,93,63.4,🎯 1+ Hit Anchor,18
Munetaka Murakami,Chicago White Sox,Sean Manaea,L,L,0.95,0.303,ABOVE-AVG MATCHUP,0.2066,59.6,18,0,0,0.0,1.12,0.2195,74.8,8,2.02,0.5984,66.3,21,0.6084,25.0,106,3.1,0.8157,96.0,36,63.2,🔥 1.5+ H+R+RBI,19
Kody Clemens,Minnesota Twins,Randy Vásquez,R,L,1.21,0.229,ABOVE-AVG MATCHUP,0.178,46.9,33,3,10,0.47,1.12,0.1779,56.4,24,2.13,0.627,74.6,17,0.7041,51.4,40,2.91,0.7867,94.5,55,61.5,🔥 1.5+ H+R+RBI,20
Jac Caglianone,Kansas City Royals,Troy Melton,R,L,1.33,0.216,ABOVE-AVG MATCHUP,0.1855,50.2,31,19,70,3.33,1.12,0.2196,74.9,7,1.98,0.5893,63.4,22,0.6519,33.8,77,3.14,0.8212,96.3,31,61.4,🔥 1.5+ H+R+RBI,21
Gabriel Moreno,Arizona Diamondbacks,Nick Lodolo,L,R,1.82,0.163,ABOVE-AVG MATCHUP,0.2122,62.0,15,14,50,1.21,1.06,0.1012,25.0,128,1.95,0.5816,60.9,27,0.787,77.2,15,3.8,0.8926,96.5,14,60.2,🎯 1+ Hit Anchor,22
Steven Kwan,Cleveland Guardians,Tanner Gordon,R,L,2.52,0.062,ABOVE-AVG MATCHUP,0.1431,32.0,59,10,43,1.34,1.02,0.1251,31.0,80,2.24,0.6558,81.5,15,0.8648,90.9,3,3.8,0.8926,96.5,3,59.8,💎 Over 1.5 TB,23
Jake McCarthy,Colorado Rockies,Joey Cantillo,L,L,0.83,0.195,ABOVE-AVG MATCHUP,0.1478,33.9,54,26,73,2.16,1.06,0.1262,31.5,74,2.27,0.6627,82.9,14,0.8154,83.4,8,3.8,0.8926,96.5,9,59.6,💎 Over 1.5 TB,24
Zack Gelof,Athletics,Hayden Wesneski,R,R,0.0,0.212,ABOVE-AVG MATCHUP,0.0198,25.0,160,10,17,0.82,1.06,0.1885,61.5,20,2.06,0.6109,70.1,19,0.7567,68.9,21,3.23,0.8321,96.5,27,58.6,🎯 1+ Hit Anchor,25
Brock Rodden,Seattle Mariners,Matthew Boyd,L,S,1.77,0.2,ABOVE-AVG MATCHUP,0.226,67.7,13,6,24,0.75,1.02,0.1239,30.5,96,1.89,0.5627,54.4,29,0.7394,63.5,25,2.36,0.6826,83.1,103,57.8,🔥 1.5+ H+R+RBI,26
Ty France,San Diego Padres,Connor Prielipp,L,R,1.27,0.22,ELEVATED POWER EDGE,0.1947,54.4,25,5,12,0.56,1.12,0.18,57.4,22,1.86,0.5549,51.7,32,0.6741,41.0,53,3.41,0.8545,96.5,22,57.4,🔥 1.5+ H+R+RBI,27
Willi Castro,Colorado Rockies,Joey Cantillo,L,S,1.17,0.161,NEUTRAL TRAJECTORY,0.1625,40.0,42,10,40,1.3,1.06,0.1343,35.1,59,1.97,0.5859,62.3,24,0.8082,82.0,11,3.8,0.8926,96.5,13,57.3,🎯 1+ Hit Anchor,28
Kyle Karros,Colorado Rockies,Joey Cantillo,L,R,1.17,0.159,NEUTRAL TRAJECTORY,0.1606,39.2,43,21,67,1.69,1.06,0.1073,25.0,116,1.97,0.5847,61.9,25,0.8094,82.2,10,3.8,0.8926,96.5,10,54.8,🎯 1+ Hit Anchor,29
Corbin Carroll,Arizona Diamondbacks,Nick Lodolo,L,L,0.52,0.238,ABOVE-AVG MATCHUP,0.0947,25.0,110,3,12,0.4,1.12,0.1282,32.4,66,2.18,0.6397,77.8,16,0.757,69.0,19,3.34,0.8467,96.5,23,53.9,🎯 1+ Hit Anchor,30
Jose Siri,Los Angeles Angels,MacKenzie Gore,L,R,1.35,0.206,ABOVE-AVG MATCHUP,0.2003,56.8,21,9,11,0.49,1.06,0.172,53.5,29,1.77,0.5275,42.2,37,0.6352,28.8,88,3.07,0.8107,95.8,40,53.1,🔥 1.5+ H+R+RBI,31
Randy Arozarena,Seattle Mariners,Matthew Boyd,L,R,1.77,0.177,ABOVE-AVG MATCHUP,0.2028,57.9,19,13,54,1.78,1.12,0.147,41.1,43,1.7,0.5052,34.8,44,0.6812,43.5,51,2.79,0.7666,93.1,67,51.0,🔥 1.5+ H+R+RBI,32
TJ Rumfield,Colorado Rockies,Joey Cantillo,L,L,0.83,0.155,NEUTRAL TRAJECTORY,0.1141,25.0,86,1,4,0.1,1.06,0.0968,25.0,155,1.95,0.5812,60.7,28,0.8122,82.8,9,3.8,0.8926,96.5,12,50.7,🎯 1+ Hit Anchor,33
Dillon Dingler,Detroit Tigers,Noah Cameron,L,R,0.87,0.235,ABOVE-AVG MATCHUP,0.1359,29.2,65,0,0,0.0,1.12,0.1597,47.4,35,1.98,0.5883,63.1,23,0.6584,35.8,67,3.33,0.8447,96.5,24,49.8,🔥 1.5+ H+R+RBI,34
Justin Foscue,Texas Rangers,Reid Detmers,L,R,1.1,0.221,ABOVE-AVG MATCHUP,0.1775,46.6,34,3,4,0.19,1.06,0.173,54.0,27,1.76,0.5237,40.9,40,0.6292,27.1,91,2.78,0.7655,93.0,68,49.4,🔥 1.5+ H+R+RBI,35
Josh Bell,Minnesota Twins,Randy Vásquez,R,S,1.21,0.175,NEUTRAL TRAJECTORY,0.133,28.2,69,4,16,0.54,1.12,0.1342,35.1,60,1.87,0.5581,52.8,30,0.7358,62.3,27,3.01,0.8026,95.4,47,48.6,🔥 1.5+ H+R+RBI,36
Julio Rodríguez,Seattle Mariners,Matthew Boyd,L,R,1.77,0.163,ABOVE-AVG MATCHUP,0.1884,51.5,29,14,61,2.28,1.12,0.1701,52.5,30,1.48,0.4354,25.0,71,0.6547,34.7,72,2.64,0.7408,90.8,86,47.9,🔥 1.5+ H+R+RBI,37
Ildemaro Vargas,Arizona Diamondbacks,Nick Lodolo,L,S,1.82,0.143,ABOVE-AVG MATCHUP,0.1888,51.7,28,0,0,0.0,1.06,0.0788,25.0,161,1.69,0.5044,34.6,45,0.7126,54.4,32,3.14,0.8202,96.2,32,47.8,🔥 1.5+ H+R+RBI,38
Sal Stewart,Cincinnati Reds,Eduardo Rodriguez,L,R,0.95,0.215,ABOVE-AVG MATCHUP,0.1514,35.3,48,1,4,0.2,1.12,0.1722,53.6,28,1.76,0.5262,41.7,38,0.6522,33.9,76,3.05,0.8076,95.7,43,47.8,🔥 1.5+ H+R+RBI,39
Kevin McGonigle,Detroit Tigers,Noah Cameron,L,L,1.08,0.142,NEUTRAL TRAJECTORY,0.0991,25.0,106,15,63,1.48,1.06,0.0991,25.0,120,1.84,0.5494,49.8,33,0.799,80.0,13,3.49,0.8629,96.5,20,47.8,🎯 1+ Hit Anchor,40
Ryan Jeffers,Minnesota Twins,Randy Vásquez,R,R,1.25,0.21,ABOVE-AVG MATCHUP,0.1695,43.1,36,9,38,1.46,1.06,0.1576,46.3,36,1.65,0.4926,30.9,50,0.6686,39.2,58,3.45,0.8585,96.5,21,46.9,🔥 1.5+ H+R+RBI,41
Jonah Heim,Athletics,Hayden Wesneski,R,S,1.54,0.179,ABOVE-AVG MATCHUP,0.1988,56.2,22,11,40,1.5,1.06,0.154,44.5,39,1.63,0.4848,28.6,51,0.6626,37.2,64,2.13,0.628,71.8,121,46.4,⚾ High-Floor Value,42
Brooks Lee,Minnesota Twins,Randy Vásquez,R,S,1.21,0.175,NEUTRAL TRAJECTORY,0.133,28.2,70,11,33,1.21,1.12,0.1565,45.8,37,1.81,0.5404,46.6,34,0.7161,55.6,31,2.14,0.6313,72.6,120,45.8,⚾ High-Floor Value,43
Manny Machado,San Diego Padres,Connor Prielipp,L,R,1.27,0.198,ABOVE-AVG MATCHUP,0.163,40.2,41,8,32,1.44,1.12,0.1918,63.1,17,1.42,0.4156,25.0,79,0.5457,25.0,146,2.71,0.7538,92.0,78,45.7,🔥 1.5+ H+R+RBI,44
Chase Meidroth,Chicago White Sox,Sean Manaea,L,R,1.49,0.133,ABOVE-AVG MATCHUP,0.1473,33.7,55,0,0,0.0,1.06,0.0799,25.0,159,1.76,0.5244,41.1,39,0.738,63.0,26,2.99,0.7995,95.2,50,45.5,🔥 1.5+ H+R+RBI,45
Max Clark,Detroit Tigers,Noah Cameron,L,L,1.08,0.143,NEUTRAL TRAJECTORY,0.0997,25.0,104,1,5,0.16,1.02,0.1208,29.2,103,1.8,0.5366,45.3,36,0.7644,71.1,18,2.42,0.6956,85.2,98,45.0,🎯 1+ Hit Anchor,46
Seiya Suzuki,Chicago Cubs,Emerson Hancock,R,R,0.97,0.215,ABOVE-AVG MATCHUP,0.1401,30.8,62,10,43,1.95,1.12,0.1995,66.6,13,1.47,0.4329,25.0,72,0.6367,29.2,84,2.82,0.7727,93.5,63,44.7,🔥 1.5+ H+R+RBI,47
Wyatt Langford,Texas Rangers,Reid Detmers,L,R,1.1,0.203,ABOVE-AVG MATCHUP,0.1643,40.8,39,12,51,2.21,1.06,0.1794,57.2,23,1.55,0.4577,25.0,60,0.59,25.0,122,2.74,0.7593,92.5,75,44.6,🔥 1.5+ H+R+RBI,48
Colson Montgomery,Chicago White Sox,Sean Manaea,L,L,0.95,0.217,ABOVE-AVG MATCHUP,0.1527,35.9,47,2,8,0.41,1.12,0.1915,62.9,18,1.56,0.4612,25.0,59,0.5902,25.0,120,2.78,0.7649,92.9,69,44.5,🔥 1.5+ H+R+RBI,49
Tim Tawa,Arizona Diamondbacks,Nick Lodolo,L,R,1.82,0.15,ABOVE-AVG MATCHUP,0.1971,55.4,24,15,44,1.37,1.06,0.1292,32.8,62,1.6,0.4754,26.0,56,0.6704,39.8,56,2.26,0.6594,78.8,109,44.3,🔥 1.5+ H+R+RBI,50
Oneil Cruz,Pittsburgh Pirates,Yoshinobu Yamamoto,R,L,0.83,0.214,ABOVE-AVG MATCHUP,0.1331,28.2,68,4,15,0.78,1.12,0.2049,69.0,11,1.3,0.3726,25.0,103,0.5851,25.0,123,2.94,0.7923,94.8,53,44.0,🔥 1.5+ H+R+RBI,51
Mike Trout,Los Angeles Angels,MacKenzie Gore,L,R,1.35,0.195,ABOVE-AVG MATCHUP,0.1907,52.6,27,0,0,0.0,1.12,0.1246,30.8,92,1.66,0.4955,31.8,49,0.6114,25.0,103,3.0,0.8004,95.3,49,43.9,🔥 1.5+ H+R+RBI,52
Francisco Lindor,New York Mets,Sean Burke,R,S,1.2,0.187,ABOVE-AVG MATCHUP,0.1651,41.1,38,17,79,3.06,1.06,0.1651,50.0,32,1.61,0.478,26.7,54,0.6015,25.0,112,2.84,0.7759,93.8,61,43.6,🔥 1.5+ H+R+RBI,53
Ryan Waldschmidt,Arizona Diamondbacks,Nick Lodolo,L,R,1.82,0.112,ABOVE-AVG MATCHUP,0.1511,35.2,49,38,139,4.34,1.02,0.1278,32.2,67,1.63,0.4834,28.2,52,0.7322,61.1,28,2.56,0.7244,89.0,89,43.6,🔥 1.5+ H+R+RBI,54
Elly De La Cruz,Cincinnati Reds,Eduardo Rodriguez,L,S,0.95,0.208,ABOVE-AVG MATCHUP,0.1469,33.5,56,1,4,0.16,1.12,0.144,39.7,45,1.74,0.5183,39.1,41,0.6522,33.9,75,3.05,0.8085,95.7,41,43.6,🔥 1.5+ H+R+RBI,55
Zach Neto,Los Angeles Angels,MacKenzie Gore,L,R,1.35,0.191,ABOVE-AVG MATCHUP,0.1872,51.0,30,1,5,0.19,1.12,0.135,35.4,56,1.62,0.4809,27.5,53,0.5989,25.0,115,2.76,0.7612,92.7,72,43.2,🔥 1.5+ H+R+RBI,56
Carlos Cortes,Athletics,Hayden Wesneski,R,L,1.54,0.147,ABOVE-AVG MATCHUP,0.1664,41.7,37,8,17,0.41,1.06,0.0946,25.0,145,1.53,0.4506,25.0,64,0.7057,52.0,38,3.03,0.8058,95.6,45,42.5,🔥 1.5+ H+R+RBI,57
Freddie Freeman,Los Angeles Dodgers,Bubba Chandler,R,L,1.12,0.165,NEUTRAL TRAJECTORY,0.1319,27.8,72,5,21,0.59,1.12,0.1132,26.2,112,1.72,0.5117,36.9,43,0.7221,57.7,30,3.67,0.8807,96.5,16,42.5,🔥 1.5+ H+R+RBI,58
Randal Grichuk,Chicago White Sox,Sean Manaea,L,R,1.49,0.129,ABOVE-AVG MATCHUP,0.1432,32.0,58,19,38,1.89,1.06,0.2017,67.6,12,1.4,0.4075,25.0,83,0.6139,25.0,100,2.2,0.6455,75.9,114,42.4,🔥 1.5+ H+R+RBI,59
Michael Conforto,Chicago Cubs,Emerson Hancock,R,L,1.26,0.216,ABOVE-AVG MATCHUP,0.1787,47.2,32,17,38,1.69,1.06,0.1812,58.0,21,1.36,0.3946,25.0,89,0.5485,25.0,145,1.92,0.5719,56.5,141,42.3,⚾ High-Floor Value,60
Jared Young,New York Mets,Sean Burke,R,L,1.2,0.177,NEUTRAL TRAJECTORY,0.1501,34.8,50,14,30,0.95,1.06,0.129,32.7,64,1.69,0.5032,34.2,46,0.6643,37.8,63,3.17,0.8252,96.5,29,42.1,🔥 1.5+ H+R+RBI,61
Christian Walker,Houston Astros,J.T. Ginn,R,R,0.8,0.21,ABOVE-AVG MATCHUP,0.1263,25.8,75,8,30,1.37,1.12,0.1932,63.7,16,1.3,0.3727,25.0,102,0.5383,25.0,147,2.89,0.7846,94.3,56,42.1,🔥 1.5+ H+R+RBI,62
Eugenio Suárez,Cincinnati Reds,Eduardo Rodriguez,L,R,0.95,0.205,ABOVE-AVG MATCHUP,0.1449,32.7,57,2,9,0.42,1.12,0.177,56.0,26,1.54,0.4543,25.0,62,0.5718,25.0,129,2.68,0.7479,91.5,82,42.0,🔥 1.5+ H+R+RBI,63
Geraldo Perdomo,Arizona Diamondbacks,Nick Lodolo,L,S,1.82,0.127,ABOVE-AVG MATCHUP,0.1696,43.1,35,0,0,0.0,1.06,0.0574,25.0,162,1.54,0.4564,25.0,61,0.6841,44.5,48,3.23,0.8321,96.5,28,41.8,🔥 1.5+ H+R+RBI,64
Trevor Larnach,Minnesota Twins,Randy Vásquez,R,L,1.21,0.154,NEUTRAL TRAJECTORY,0.118,25.0,82,10,25,0.66,1.06,0.1068,25.0,137,1.72,0.5125,37.2,42,0.7491,66.5,23,2.34,0.6787,82.4,104,41.2,🎯 1+ Hit Anchor,65
Jackson Merrill,San Diego Padres,Connor Prielipp,L,L,1.16,0.168,NEUTRAL TRAJECTORY,0.123,25.0,81,3,12,0.44,1.12,0.1398,37.7,50,1.57,0.4663,25.0,57,0.7113,53.9,33,2.79,0.7672,93.1,66,40.6,🔥 1.5+ H+R+RBI,66
Corey Seager,Texas Rangers,Reid Detmers,L,L,1.01,0.197,ABOVE-AVG MATCHUP,0.1478,33.9,53,1,4,0.18,1.06,0.167,51.0,31,1.31,0.3773,25.0,101,0.568,25.0,132,2.42,0.6954,85.1,99,40.4,🔥 1.5+ H+R+RBI,67
Henry Bolte,Athletics,Hayden Wesneski,R,R,0.0,0.098,POWER SUPPRESSED,0.0198,25.0,159,24,85,1.6,1.06,0.081,25.0,117,1.48,0.4367,25.0,70,0.7567,68.9,20,2.87,0.7802,94.1,58,40.3,🎯 1+ Hit Anchor,68
Spencer Torkelson,Detroit Tigers,Noah Cameron,L,R,0.87,0.187,ABOVE-AVG MATCHUP,0.1097,25.0,92,23,86,3.47,1.12,0.1901,62.3,19,1.57,0.4651,25.0,58,0.6107,25.0,104,2.23,0.6525,77.4,111,39.5,🔥 1.5+ H+R+RBI,69
Brandon Lowe,Pittsburgh Pirates,Yoshinobu Yamamoto,R,L,0.83,0.227,ABOVE-AVG MATCHUP,0.1406,31.0,61,0,0,0.0,1.12,0.1555,45.3,38,1.37,0.3989,25.0,87,0.5493,25.0,143,2.69,0.7493,91.6,81,39.1,🔥 1.5+ H+R+RBI,70
Ian Happ,Chicago Cubs,Emerson Hancock,R,S,1.26,0.191,ABOVE-AVG MATCHUP,0.1598,38.9,44,1,5,0.19,1.12,0.1366,36.2,52,1.26,0.3583,25.0,109,0.5354,25.0,149,2.48,0.7077,86.9,96,38.8,🔥 1.5+ H+R+RBI,71
Jose Fernandez,Arizona Diamondbacks,Nick Lodolo,L,R,1.82,0.103,ABOVE-AVG MATCHUP,0.1399,30.8,63,0,0,0.0,1.02,0.1175,27.9,107,1.51,0.4468,25.0,66,0.7084,52.9,34,2.34,0.6776,82.2,105,38.6,🔥 1.5+ H+R+RBI,72
Michael Massey,Kansas City Royals,Troy Melton,R,L,1.33,0.169,ABOVE-AVG MATCHUP,0.1483,34.1,52,12,27,0.83,1.06,0.1248,30.9,87,1.69,0.5028,34.1,47,0.6506,33.4,78,2.24,0.6539,77.7,110,38.5,🔥 1.5+ H+R+RBI,73
Jordan Lawlar,Arizona Diamondbacks,Nick Lodolo,L,R,1.82,0.104,ABOVE-AVG MATCHUP,0.1412,31.3,60,5,17,0.53,1.02,0.1231,30.2,98,1.47,0.4328,25.0,73,0.6929,47.5,42,2.36,0.6826,83.1,102,38.5,🔥 1.5+ H+R+RBI,74
Bobby Witt Jr.,Kansas City Royals,Troy Melton,R,R,0.25,0.177,NEUTRAL TRAJECTORY,0.0296,25.0,155,27,120,3.95,1.12,0.1601,47.6,34,1.1,0.3003,25.0,133,0.617,25.0,96,3.05,0.8083,95.7,42,38.5,🔥 1.5+ H+R+RBI,75
Fernando Tatis Jr.,San Diego Padres,Connor Prielipp,L,R,1.27,0.154,NEUTRAL TRAJECTORY,0.1235,25.0,80,55,236,6.38,1.12,0.1408,38.1,49,1.41,0.4109,25.0,81,0.66,36.4,66,3.07,0.811,95.8,39,38.2,🔥 1.5+ H+R+RBI,76
Ezequiel Tovar,Colorado Rockies,Joey Cantillo,L,R,1.17,0.121,NEUTRAL TRAJECTORY,0.1248,25.3,79,1,4,0.09,1.06,0.0786,25.0,156,1.51,0.446,25.0,67,0.7226,57.8,29,2.55,0.7224,88.8,91,38.0,🔥 1.5+ H+R+RBI,77
Hao-Yu Lee,Detroit Tigers,Noah Cameron,L,R,0.87,0.148,NEUTRAL TRAJECTORY,0.0839,25.0,124,6,18,0.48,1.06,0.1048,25.0,144,1.53,0.4507,25.0,63,0.7049,51.7,39,3.13,0.82,96.2,33,37.8,🔥 1.5+ H+R+RBI,78
Kaelen Culpepper,Minnesota Twins,Randy Vásquez,R,R,1.25,0.115,NEUTRAL TRAJECTORY,0.0923,25.0,115,0,0,0.0,1.02,0.1175,27.9,108,1.36,0.3932,25.0,90,0.7064,52.2,37,2.55,0.7232,88.9,90,37.7,🔥 1.5+ H+R+RBI,79
Lawrence Butler,Athletics,Hayden Wesneski,R,L,1.54,0.14,ABOVE-AVG MATCHUP,0.1591,38.6,45,5,13,0.37,1.06,0.1094,25.0,146,1.34,0.3878,25.0,93,0.6414,30.6,82,2.66,0.7435,91.1,84,37.6,🔥 1.5+ H+R+RBI,80
Carter Jensen,Kansas City Royals,Troy Melton,R,L,1.33,0.18,ABOVE-AVG MATCHUP,0.1572,37.7,46,2,6,0.2,1.12,0.1221,29.8,101,1.61,0.4771,26.5,55,0.5489,25.0,144,2.51,0.7138,87.7,95,37.5,🔥 1.5+ H+R+RBI,81
Jeff McNeil,Athletics,Hayden Wesneski,R,L,1.54,0.096,ABOVE-AVG MATCHUP,0.1121,25.0,88,22,78,1.21,1.06,0.0658,25.0,127,1.34,0.3865,25.0,94,0.707,52.4,36,2.74,0.7589,92.5,76,37.5,🔥 1.5+ H+R+RBI,82
Gleyber Torres,Detroit Tigers,Noah Cameron,L,R,0.87,0.13,NEUTRAL TRAJECTORY,0.074,25.0,129,7,31,0.79,1.06,0.1045,25.0,134,1.44,0.4228,25.0,75,0.6983,49.4,41,3.23,0.8329,96.5,26,37.5,🔥 1.5+ H+R+RBI,83
Tommy White,Athletics,Hayden Wesneski,R,R,0.0,0.073,POWER SUPPRESSED,0.0198,25.0,161,25,97,3.03,1.02,0.127,31.9,71,1.33,0.3852,25.0,95,0.7409,63.9,24,2.02,0.6005,64.7,128,37.5,🎯 1+ Hit Anchor,84
Ben Malgeri,Detroit Tigers,Noah Cameron,L,R,0.87,0.187,ABOVE-AVG MATCHUP,0.1097,25.0,93,19,42,1.31,1.02,0.1251,31.0,81,1.68,0.5017,33.7,48,0.6569,35.4,71,2.51,0.7142,87.8,94,37.4,🔥 1.5+ H+R+RBI,85
Dominic Canzone,Seattle Mariners,Matthew Boyd,L,L,0.4,0.232,ABOVE-AVG MATCHUP,0.0649,25.0,135,0,0,0.0,1.12,0.1508,42.9,41,1.2,0.3374,25.0,120,0.5985,25.0,116,2.89,0.7832,94.3,57,37.3,🔥 1.5+ H+R+RBI,86
Mookie Betts,Los Angeles Dodgers,Bubba Chandler,R,R,0.32,0.175,NEUTRAL TRAJECTORY,0.042,25.0,149,1,5,0.21,1.12,0.1497,42.4,42,1.1,0.3005,25.0,132,0.5968,25.0,118,3.1,0.815,96.0,37,37.3,🔥 1.5+ H+R+RBI,87
Tommy Edman,Los Angeles Dodgers,Bubba Chandler,R,S,1.12,0.141,NEUTRAL TRAJECTORY,0.1139,25.0,87,10,37,1.16,1.02,0.1248,30.9,86,1.51,0.4458,25.0,68,0.6819,43.7,50,2.56,0.7253,89.1,88,37.0,🔥 1.5+ H+R+RBI,88
Isaac Paredes,Houston Astros,J.T. Ginn,R,R,0.8,0.162,NEUTRAL TRAJECTORY,0.0945,25.0,112,18,74,2.31,1.12,0.1437,39.5,46,1.18,0.3299,25.0,122,0.6032,25.0,110,3.13,0.82,96.2,34,36.7,🔥 1.5+ H+R+RBI,89
Andy Pages,Los Angeles Dodgers,Bubba Chandler,R,R,0.32,0.187,ABOVE-AVG MATCHUP,0.047,25.0,146,0,0,0.0,1.12,0.1161,27.3,110,1.22,0.3461,25.0,118,0.6653,38.1,62,3.53,0.8675,96.5,18,36.2,🔥 1.5+ H+R+RBI,90
